feature,label
0.0665,0
0.0661,0
0.0661,0
0.0665,0
0.0665,0
0.0669,0
0.0673,0
0.0673,0
0.0669,0
0.0665,0
0.0665,0
0.0665,0
0.0661,0
0.0665,0
0.0668,0
0.0668,0
0.0668,0
0.0677,0
0.0682,0
0.0694,0
0.0706,0
0.0719,0
0.0722,0
0.0725,0
0.0725,0
0.0724,0
0.0724,0
0.0724,0
0.0724,0
0.0724,0
0.0720,0
0.0720,0
0.0724,0
0.0728,0
0.0724,0
0.0728,0
0.0724,0
0.0724,0
0.0724,0
0.0728,0
0.0728,0
0.0732,0
0.0732,0
0.0732,0
0.0732,0
0.0728,0
0.0724,0
0.0724,0
0.0724,0
0.0724,0
0.0724,0
0.0724,0
0.0724,0
0.0724,0
0.0720,0
0.0720,0
0.0724,0
0.0720,0
0.0716,0
0.0716,0
0.0716,0
0.0716,0
0.0720,0
0.0720,0
0.0720,0
0.0720,0
0.0716,0
0.0711,0
0.0711,0
0.0716,0
0.0724,0
0.0728,0
0.0732,0
0.0736,0
0.0748,0
0.0769,0
0.0760,0
0.0734,0
0.0712,0
0.0677,0
0.0634,0
0.0607,0
0.1499,1
0.2372,1
0.2353,1
0.2347,1
0.2347,1
0.1443,1
0.0560,0
0.0565,0
0.0552,0
0.0552,0
0.0547,0
0.0538,0
0.0538,0
0.0525,0
0.0517,0
0.0508,0
0.0500,0
0.0487,0
0.0583,0
0.0565,0
0.0558,0
0.0541,0
0.0510,0
0.0391,0
0.0362,0
0.0325,0
0.0300,0
0.0275,0
0.0240,0
0.0226,0
0.0203,0
0.0180,0
0.0167,0
0.0155,0
0.0130,0
0.0123,0
0.0139,0
0.0193,0
0.0188,0
0.0198,0
0.0198,0
0.0170,0
0.0112,0
0.0115,0
0.0113,0
0.0127,0
0.0149,0
0.0170,0
0.0206,0
0.0251,0
0.0274,0
0.0315,0
0.0337,0
0.0356,0
0.0367,0
0.0429,0
0.1439,1
0.1478,1
0.2437,1
0.3405,2
0.3398,2
0.3460,2
0.4478,2
0.3579,2
0.3638,2
0.4591,2
0.4496,2
0.4444,2
0.5445,2
0.5419,2
0.5470,2
0.5504,2
0.5496,2
0.5437,2
0.5454,2
0.5449,2
0.5488,2
0.4541,2
0.3581,2
0.2573,1
0.1549,1
0.0491,0
0.0437,0
0.0397,0
0.0368,0
0.0334,0
0.0296,0
0.0265,0
0.0217,0
0.0187,0
0.0153,0
0.0136,0
0.0118,0
0.0101,0
0.0095,0
0.0089,0
0.0085,0
0.0106,0
0.0106,0
0.0098,0
0.0098,0
0.0098,0
0.0102,0
0.0113,0
0.0146,0
0.0155,0
0.0165,0
0.0159,0
0.0175,0
0.0177,0
0.0203,0
0.0243,0
0.0270,0
0.0298,0
0.0326,0
0.0360,0
0.0400,0
0.0465,0
0.0513,0
0.1463,1
0.2413,1
0.3359,2
0.4270,2
0.5187,2
0.5175,2
0.5173,2
0.5164,2
0.5173,2
0.5160,2
0.4260,2
0.3331,2
0.3400,2
0.2462,1
0.1560,1
0.1534,1
0.1521,1
0.0497,0
0.0466,0
0.0420,0
0.0394,0
0.0377,0
0.0356,0
0.0334,0
0.0331,0
0.0330,0
0.0304,0
0.0275,0
0.0250,0
0.0218,0
0.0176,0
0.0162,0
0.0151,0
0.0138,0
0.0143,0
0.0135,0
0.0116,0
0.0100,0
0.0092,0
0.0060,0
0.0077,0
0.0149,0
0.0156,0
0.0183,0
0.0192,0
0.0193,0
0.0148,0
0.0174,0
0.0186,0
0.0226,0
0.0253,0
0.0275,0
0.0312,0
0.0335,0
0.0347,0
0.0357,0
0.0367,0
0.0370,0
0.0373,0
0.0368,0
0.0371,0
0.0379,0
0.0374,0
0.0378,0
0.0394,0
0.0414,0
0.0427,0
0.0460,0
0.0488,0
0.0507,0
0.0524,0
0.0543,0
0.0526,0
0.0534,0
0.0537,0
0.0541,0
0.0542,0
0.0560,0
0.0554,0
0.0574,0
0.0589,0
0.0605,0
0.0622,0
0.0635,0
0.0634,0
